UF,id,Cidade,Status,Observações,Falhas
MG,mg_nova_serrana,Nova Serrana,True,,
MG,mg_lavras,Lavras,False,,7.0
MG,mg_coronel_fabriciano,Coronel Fabriciano,True,,
MG,mg_muriae,Muriaé,True,,
MG,mg_uba,Ubá,True,,
MG,mg_ituiutaba,Ituiutaba,True,,
MG,mg_itauna,Itaúna,True,,
MG,mg_para_de_minas,Pará de Minas,True,,
MG,mg_paracatu,Paracatu,True,,
MG,mg_itajuba,Itajubá,False,captcha challenge error,8.0
MG,mg_manhuacu,Manhuaçu,True,,
MG,mg_sao_joao_del_rei,São João del-Rei,False,BaseUrl não funciona,9.0
MG,mg_patrocinio,Patrocínio,False,BaseUrl não funciona,10.0
MG,mg_caratinga,Caratinga,True,,
MG,mg_unai,Unaí,False,BaseUrl não funciona,11.0
MG,mg_esmeraldas,Esmeraldas,True,,
MG,mg_timoteo,Timóteo,False,BaseUrl não funciona,12.0
MG,mg_curvelo,Curvelo,True,,
MG,mg_joao_monlevade,João Monlevade,True,,
MG,mg_alfenas,Alfenas,False,,
MG,mg_vicosa,Viçosa,True,,
MG,mg_tres_coracoes,Três Corações,True,,
MG,mg_lagoa_santa,Lagoa Santa,True,,
MG,mg_ouro_preto,Ouro Preto,True,,
MG,mg_sao_sebastiao_do_paraiso,São Sebastião do Paraíso,True,,
MG,mg_janauba,Janaúba,False,Sem diarios publicados,13.0
MG,mg_formiga,Formiga,True,,
MG,mg_cataguases,Cataguases,False,BaseUrl inconsistente,
MG,mg_januaria,Januária,True,,
MG,mg_pedro_leopoldo,Pedro Leopoldo,False,BaseUrl não funciona,14.0
MG,mg_mariana,Mariana,True,,
MG,mg_frutal,Frutal,True,,
MG,mg_ponte_nova,Ponte Nova,True,,
MG,mg_pirapora,Pirapora,True,,
MG,mg_tres_pontas,Três Pontas,True,,
MG,mg_extrema,Extrema,True,,
MG,mg_itabirito,Itabirito,True,,
MG,mg_congonhas,Congonhas,False,BaseUrl não funciona,
MG,mg_sao_francisco,São Francisco,True,,
MG,mg_campo_belo,Campo Belo,True,,
MG,mg_bom_despacho,Bom Despacho,True,,
MG,mg_lagoa_da_prata,Lagoa da Prata,True,,
MG,mg_leopoldina,Leopoldina,True,,
MG,mg_guaxupe,Guaxupé,True,,
MG,mg_bocaiuva,Bocaiuva,True,,
MG,mg_diamantina,Diamantina,True,,
MG,mg_monte_carmelo,Monte Carmelo,True,,
